rid,work,lang,author,role,written
bdr:MW23934,bdr:WA23934,bo-x-ewts,myang nyi ma 'od zer/,tertön,yes
bdr:MW1KG5926,bdr:WA1KG5905,bo-x-ewts,dbang rgyal/ bsod nams skyid/,translator,yes
bdr:MW8LS41741,bdr:WA2KG207553,,,no creator on the work,no
bdr:MW3CN10668,bdr:WA3CN10668,,,no creator on the work,no
bdr:MW1KG24212,bdr:WA1KG24212,,,no creator on the work,no
bdr:MW1KG24110,bdr:WA1KG24110,,,no creator on the work,no
bdr:MW1KG26105,bdr:WA1KG26105,,,no creator on the work,no
bdr:MW1KG22124,bdr:WA1KG22124,,,no creator on the work,no
bdr:MW8LS41720,bdr:WA8LS41720,,,no creator on the work,no
bdr:MW1KG110450,bdr:WA1KG110450,,,no creator on the work,no
bdr:MW8LS41724,bdr:WA8LS41724,,,no creator on the work,no
bdr:MW1KG14802,bdr:WA1KG14802,,,no creator on the work,no
bdr:MW1KG4200,bdr:WA1KG4200,,,no creator on the work,no
bdr:MW25107,bdr:WA25107,,,no creator on the work,no
bdr:MW1KG13605,bdr:WA1KG13605,,,no creator on the work,no
bdr:MW1KG17093,bdr:WA1KG17093,,,no creator on the work,no
bdr:MW1KG17094,bdr:WA1KG17094,,,no creator on the work,no
bdr:MW1KG13440,bdr:WA1KG13440,,,no creator on the work,no
bdr:MW2KG230200,bdr:WA2KG230200,,,no creator on the work,no
bdr:MW1KG23268,bdr:WA1KG23268,,,no creator on the work,no
bdr:MW20835,bdr:WA20835,,,no creator on the work,no
bdr:MW3CN10551,bdr:WA3CN10551,,,no creator on the work,no
bdr:MW8LS19018,bdr:WA3CN26463,,,no creator on the work,no
bdr:MW00KG03798,bdr:WA00KG03798,,,no creator on the work,no
bdr:MW29679,bdr:WA29679,,,no creator on the work,no
bdr:MW3KG143,bdr:WA3KG143,,,no creator on the work,no
bdr:MW1CZ2543,bdr:WA1CZ2543,,,no creator on the work,no
bdr:MW00KG09761,bdr:WA00KG09761,bo-x-ewts,lha btsun sngon po/ khams sprul bstan 'dzin chos kyi nyi ma/ yol mo sprul sku 01 shAkya bzang po/,main author,yes
bdr:MW3CN561,bdr:WA3CN561,,,no creator on the work,no
bdr:MW2KG228736,bdr:WA2KG228736,,,no creator on the work,no
bdr:MW1KG4328,bdr:WA1KG4328,,,no creator on the work,no
bdr:MW1KG21011,bdr:WA1KG21011,,,no creator on the work,no
bdr:MW1KG4864,bdr:WA1KG4864,,,no creator on the work,no
bdr:MW3CN3037,bdr:WA3CN3037,,,no creator on the work,no
bdr:MW1KG1610,bdr:WA1KG1610,bo-x-ewts,sde srid sangs rgyas rgya mtsho/,contributing author,yes
bdr:MW8LS77119,bdr:WA8LS77119,,,no creator on the work,no
bdr:MW4CZ333424,bdr:WA4CZ333424,,,no creator on the work,no
bdr:MW4CZ7370,bdr:WA4CZ7370,,,no creator on the work,no
bdr:MW1KG22580,bdr:WA1KG22580,,,no creator on the work,no
bdr:MW1KG10093,bdr:WA1KG10093,bo-x-ewts,zhu chen tshul khrims rin chen/,main author,yes
bdr:MW1KG9772,bdr:WA1KG9771,,,no creator on the work,no
bdr:MW1KG14821,bdr:WA1KG14821,,,no creator on the work,no
bdr:MW1KG15233,bdr:WA1KG15233,,,no creator on the work,no
bdr:MW1KG25919,bdr:WA1KG25919,,,no creator on the work,no
bdr:MW1KG8537,bdr:WA1KG8537,,,no creator on the work,no
bdr:MW1NLM1716,bdr:WA1NLM1716,,,no creator on the work,no
bdr:MW2KG1679,bdr:WA2KG1679,,,no creator on the work,no
bdr:MW3CN1314,bdr:WA3CN1314,,,no creator on the work,no
bdr:MW3CN1328,bdr:WA3CN1328,,,no creator on the work,no
bdr:MW3CN1332,bdr:WA3CN1332,,,no creator on the work,no
bdr:MW3CN3089,bdr:WA3CN3089,,,no creator on the work,no
bdr:MW3CN7979,bdr:WA3CN7979,,,no creator on the work,no
bdr:MW4CZ332269,bdr:WA4CZ332269,,,no creator on the work,no
bdr:MW8LS20918,bdr:WA8LS20918,,,no creator on the work,no
bdr:MW8LS32647,bdr:WA8LS32647,,,no creator on the work,no
bdr:MW1KG4769,bdr:WA1KG4769,,,no creator on the work,no
bdr:MW21606,bdr:WA21606,,,no creator on the work,no
bdr:MW3CN26467,bdr:WA3CN26467,,,no creator on the work,no
bdr:MW2DB4583,bdr:WA2DB4583,,,no creator on the work,no
bdr:MW1KG14982,bdr:WA1KG14982,,,no creator on the work,no
bdr:MW1KG13833,bdr:WA1KG13833,,,no creator on the work,no
bdr:MW1NLM786,bdr:WA1NLM786,,,no creator on the work,no
bdr:MW1AC348,bdr:WA1AC348,,,no creator on the work,no
bdr:MW1KG6159,bdr:WA1KG6159,,,no creator on the work,no
bdr:MW3KG174,bdr:WA3KG174,,,no creator on the work,no
bdr:MW4CZ302239,bdr:WA4CZ302239,,,no creator on the work,no
bdr:MW4CZ355876,bdr:WA4CZ355876,,,no creator on the work,no
